ce96c2718b567977fcedc548cf6d58cfee2e1a25,
Test=forkfork, Iter=0, ExecCount=5, Mean=1054142535.6, Standard Deviation=8757823.601872945
Test=forkforkfork, Iter=0, ExecCount=5, Mean=2425465596.2, Standard Deviation=111433797.20494197
Test=argptest, Iter=0, ExecCount=5, Mean=9676402.8, Standard Deviation=1359966.7185608624
Test=createdelete, Iter=0, ExecCount=5, Mean=1521393979.4, Standard Deviation=103232514.83559394
Test=linkunlink, Iter=0, ExecCount=5, Mean=622082864.8, Standard Deviation=17090858.64802587
Test=linktest, Iter=0, ExecCount=5, Mean=99388689.6, Standard Deviation=4029954.645035326
Test=unlinkread, Iter=0, ExecCount=5, Mean=98078593.6, Standard Deviation=5424597.08994634
Test=concreate, Iter=0, ExecCount=5, Mean=144453409.8, Standard Deviation=78866797.87222469
Test=subdir, Iter=0, ExecCount=5, Mean=254379047.8, Standard Deviation=5093809.950894684
Test=fourfiles, Iter=0, ExecCount=5, Mean=327086771, Standard Deviation=68279237.4748925
Test=sharedfd, Iter=0, ExecCount=5, Mean=858548547.6, Standard Deviation=6608253.282654448
Test=dirtest, Iter=0, ExecCount=5, Mean=53905270.4, Standard Deviation=1687594.702328524
Test=exectest, Iter=0, ExecCount=5, Mean=75915645.4, Standard Deviation=4805276.236006812
Test=bigargtest, Iter=0, ExecCount=5, Mean=57943036, Standard Deviation=2123726.8294668924
Test=bigwrite, Iter=0, ExecCount=5, Mean=1985539066, Standard Deviation=98555042.69041091
Test=bsstest, Iter=0, ExecCount=5, Mean=10299786.2, Standard Deviation=668874.913313917
Test=sbrkbasic, Iter=0, ExecCount=5, Mean=3100015266.8, Standard Deviation=71921653.47217008
Test=sbrkmuch, Iter=0, ExecCount=5, Mean=2302331852.4, Standard Deviation=13442983.06310654
Test=kernmem, Iter=0, ExecCount=5, Mean=287022053.6, Standard Deviation=32848736.45412039
Test=sbrkfail, Iter=0, ExecCount=5, Mean=1945510957.2, Standard Deviation=50233468.44178501
Test=sbrkarg, Iter=0, ExecCount=5, Mean=68805969.6, Standard Deviation=11916707.38209707
Test=validatetest, Iter=0, ExecCount=5, Mean=111038369, Standard Deviation=2282926.874015241
Test=stacktest, Iter=0, ExecCount=5, Mean=12100339.4, Standard Deviation=764662.9164588146
Test=opentest, Iter=0, ExecCount=5, Mean=15639419, Standard Deviation=895325.6899846558
Test=writetest, Iter=0, ExecCount=5, Mean=1001216092.8, Standard Deviation=21914505.98880224
Test=writebig, Iter=0, ExecCount=5, Mean=2007651812.6, Standard Deviation=35643111.48903368
Test=createtest, Iter=0, ExecCount=5, Mean=1736132981, Standard Deviation=13571889.461868804
Test=openiput, Iter=0, ExecCount=5, Mean=330200284, Standard Deviation=74794752.25562073
Test=exitiput, Iter=0, ExecCount=5, Mean=58257735.8, Standard Deviation=5798109.313603979
Test=iput, Iter=0, ExecCount=5, Mean=51134984.2, Standard Deviation=3866871.058788966
Test=mem, Iter=0, ExecCount=5, Mean=754629467.4, Standard Deviation=38997114.59732917
Test=pipe1, Iter=0, ExecCount=5, Mean=24243643.2, Standard Deviation=769158.8863256407
Test=killstatus, Iter=0, ExecCount=5, Mean=2519988492.2, Standard Deviation=92035368.91537604
Test=preempt, Iter=0, ExecCount=5, Mean=583640353.2, Standard Deviation=195563037.51940325
Test=exitwait, Iter=0, ExecCount=5, Mean=333865156.2, Standard Deviation=3786829.0254741763
Test=rmdot, Iter=0, ExecCount=5, Mean=63297306, Standard Deviation=7156403.92829873
Test=fourteen, Iter=0, ExecCount=5, Mean=112573358.4, Standard Deviation=1856901.3100348925
Test=bigfile, Iter=0, ExecCount=5, Mean=182627389.8, Standard Deviation=3131578.249505463
Test=dirfile, Iter=0, ExecCount=5, Mean=70384448.8, Standard Deviation=3189189.1993335388
Test=iref, Iter=0, ExecCount=5, Mean=1965968175, Standard Deviation=405783137.81046534
Test=forktest, Iter=0, ExecCount=5, Mean=206686602.8, Standard Deviation=1808902.0323170351
Test=bigdir, Iter=0, ExecCount=5, Mean=1515777035.8, Standard Deviation=1069551031.1704372
00b364e14a213e0d72e4ddf09fc073dd4180716d,
Test=manywrites, Iter=0, ExecCount=5, Mean=993649245.8, Standard Deviation=223492898.97256732
Test=execout, Iter=0, ExecCount=5, Mean=1551834292.4, Standard Deviation=955184372.703349
Test=copyin, Iter=0, ExecCount=5, Mean=61887465.4, Standard Deviation=3176192.372516391
Test=copyout, Iter=0, ExecCount=5, Mean=13148630.8, Standard Deviation=586512.2673441707
Test=copyinstr1, Iter=0, ExecCount=5, Mean=8955480, Standard Deviation=420879.125276486
Test=copyinstr2, Iter=0, ExecCount=5, Mean=15773070.4, Standard Deviation=320880.2088502811
Test=copyinstr3, Iter=0, ExecCount=5, Mean=10301858.2, Standard Deviation=102160.56659837005
Test=rwsbrk, Iter=0, ExecCount=5, Mean=33863465.6, Standard Deviation=2050183.0984322596
Test=truncate1, Iter=0, ExecCount=5, Mean=53345756.4, Standard Deviation=3148096.257596454
Test=truncate2, Iter=0, ExecCount=5, Mean=48798833.8, Standard Deviation=1827852.3781422284
Test=truncate3, Iter=0, ExecCount=5, Mean=473826824.8, Standard Deviation=17262666.902915917
Test=reparent2, Iter=0, ExecCount=5, Mean=1338538670.4, Standard Deviation=51644746.486142874
Test=pgbug, Iter=0, ExecCount=5, Mean=7577296.6, Standard Deviation=1726498.5846334482
Test=sbrkbugs, Iter=0, ExecCount=5, Mean=26977033, Standard Deviation=3648680.6827649362
Test=badarg, Iter=0, ExecCount=5, Mean=410759133.8, Standard Deviation=17705244.289318737
Test=reparent, Iter=0, ExecCount=5, Mean=1273184326.4, Standard Deviation=19285980.003243335
Test=twochildren, Iter=0, ExecCount=5, Mean=2122093442, Standard Deviation=6791676.780250368
